event_id,asset_id,scenario,ground_truth,D,Trap,R,A,P,containment,integrity_state,recovery_status,recovery_source,effectiveness,event_confirmed,event_pool_decision,total_pipeline_ms,error
EVT-8f240313-c5bf-5ad2-87c1-33abe8874ae5,ASSET-94bec6eaedcc79286faee149,NORMAL,NORMAL,D3,False,73.6995648762502,EMR_LEAKAGE,P2,NOT_APPLICABLE,NORMAL,NOT_NEEDED,NONE,INEFFECTIVE,True,APPEND,39.14700000314042,
EVT-29e5246f-d8bc-5406-8ac3-a89cb8f300c6,ASSET-f799fcaf83968029e1d8efb3,NORMAL,NORMAL,D3,False,21.82024701769716,NORMAL,P0,NOT_APPLICABLE,NORMAL,NOT_NEEDED,NONE,NOT_APPLICABLE,True,SKIP,4.31289998232387,
EVT-648085f9-b9f1-5ff4-af21-e1d8f07f3e7f,ASSET-87e7dd4e89b497725d0be390,NORMAL,NORMAL,D3,False,1.779478536541244,NORMAL,P0,NOT_APPLICABLE,NORMAL,NOT_NEEDED,NONE,NOT_APPLICABLE,True,SKIP,3.652899991720915,
EVT-84975613-d7df-5976-99ef-0d74b43278ab,ASSET-33208d64b0420ad181e98a2c,NORMAL,NORMAL,D3,False,1.3650666663350435,NORMAL,P0,NOT_APPLICABLE,NORMAL,NOT_NEEDED,NONE,NOT_APPLICABLE,True,SKIP,3.4438000002410263,
EVT-6f4c0366-907a-5c27-afd7-27b0e35db050,ASSET-0032566f82f8b89968e03c23,NORMAL,NORMAL,D3,False,1.1048658756628227,NORMAL,P0,NOT_APPLICABLE,NORMAL,NOT_NEEDED,NONE,NOT_APPLICABLE,True,SKIP,3.8146000006236136,
EVT-a07701a3-9f54-5ce6-9935-74fc2c174c42,ASSET-f78d5c18aa076b2b8a2630fb,NORMAL,NORMAL,D3,False,1.7771126952058582,NORMAL,P0,NOT_APPLICABLE,NORMAL,NOT_NEEDED,NONE,NOT_APPLICABLE,True,SKIP,5.660099996021017,
EVT-46d66fd9-d498-5596-8360-a5fd4eafd49a,ASSET-d814fb223b7aa1ef97b609b6,NORMAL,NORMAL,D3,False,0.48610350459168356,NORMAL,P0,NOT_APPLICABLE,NORMAL,NOT_NEEDED,NONE,NOT_APPLICABLE,True,SKIP,3.7423000030685216,
EVT-e7f3554c-5dd3-5cc6-afa0-52f627098472,ASSET-D2V2-fd5afeccfd4f01b91ee3c496,NORMAL,NORMAL,D2,False,0.6001141692284293,NORMAL,P0,NOT_APPLICABLE,NORMAL,NOT_NEEDED,NONE,NOT_APPLICABLE,True,SKIP,4.910199990263209,
EVT-38ca4b39-ebd2-54e2-afe2-4a158ee84fb2,ASSET-e338f56da63c83d369e4d5ce,NORMAL,NORMAL,D3,False,0.07681419425580921,NORMAL,P0,NOT_APPLICABLE,NORMAL,NOT_NEEDED,NONE,NOT_APPLICABLE,True,SKIP,3.5715000121854246,
EVT-6675d3db-c49b-5611-bff3-438cc684ee57,ASSET-22c4cad62b9cd5b4f81bc595,NORMAL,NORMAL,D3,False,1.8641210174516418,NORMAL,P0,NOT_APPLICABLE,NORMAL,NOT_NEEDED,NONE,NOT_APPLICABLE,True,SKIP,3.9856999937910587,
EVT-35b6612e-0915-5710-a83a-f9f4663821c9,ASSET-eb5ab440071366394caf01b8,NORMAL,NORMAL,D3,False,0.20693919805118244,NORMAL,P0,NOT_APPLICABLE,NORMAL,NOT_NEEDED,NONE,NOT_APPLICABLE,True,SKIP,3.6696000024676323,
EVT-d55f3a2d-626b-5b92-8cf8-08159b1bf475,ASSET-48b3778ff85da19904069138,NORMAL,NORMAL,D3,False,1.624150846005271,NORMAL,P0,NOT_APPLICABLE,NORMAL,NOT_NEEDED,NONE,NOT_APPLICABLE,True,SKIP,3.8104999985080212,
